ticker,name,sector,industry,market_cap,pe_ratio,ps_ratio,ev_to_ebitda,roe,profit_margin,debt_to_equity,dividend_yield,rev_growth_qoq,analyst_rec,target_price,current_ratio,quick_ratio,proxy_peg,free_cash_flow,ebit
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,36284755968,22.8362,2.7875,10.939,0.7326,0.125,829.059,1.9,0.26,buy,69.8737,1.144,1.086,0.88,1780000000,2959000000
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,22817673216,16.0202,1.3286,11.08,0.3103,0.0843,107.658,0.95,-0.036,buy,214,1.703,1.35,,1625000000,2112000000
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,25011113984,12.6898,0.7316,7.419,0.0841,0.0608,27.728,1.92,-0.058,hold,108.2143,5.823,2.59,,28183000,2750407000
LII,"Lennox International, Inc.",Industrials,Building Products & Equipment,18061606912,22.5965,3.4765,17.438,0.7583,0.1551,152.24,0.98,-0.112,hold,559.9375,1.597,0.515,,638800000,1043200000
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,8.83E+11,43.0812,13.5531,28.873,1.0116,0.3167,165.31,0.63,0.426,buy,1214.3448,1.579,0.777,1.01,5964000000,29696000000
LIN,Linde plc,Basic Materials,Specialty Chemicals,2.25E+11,33.2712,6.6233,18.856,0.1782,0.203,70.63,1.31,0.058,buy,512.4308,0.877,0.692,5.74,5089000000,9361000000
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,37197320192,,1.476,21.388,0.367,0.0197,572.032,0,0.111,strong_buy,181.2727,0.995,0.825,,304979000,1346560000
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,1.55E+11,31.2372,2.0688,20.441,0.7687,0.0669,338.804,2.06,0.091,hold,657.579,1.087,0.901,3.43,6908000000,7040000000
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,22501093376,13.6441,1.2193,8.081,0.0943,0.0903,50.221,0.23,0.041,none,,0.513,0.319,3.33,2700000000,2720000000
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,1.42E+11,21.3235,1.6413,15.082,,0.0771,,1.88,0.109,buy,287.4688,1.077,0.125,1.96,7698000000,10625000000
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,20166086656,11.8337,1.8211,7.167,0.4102,0.1572,39.156,0,0.071,hold,208.3534,2.13,0.698,1.67,1583481000,2505697000
LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,21804464128,,0.7231,14.97,-0.0695,-0.0247,144.156,7.29,-0.092,hold,54.3333,1.773,1.021,,384000000,-228000000
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,32393406464,12.3982,3.5268,,0.098,0.3104,,2.78,0.047,buy,234.975,,,2.64,2860000000,
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,66185150464,16.6547,0.496,10.44,0.2419,0.0303,142.647,1.76,-0.005,buy,199.8333,1.259,0.711,,6132000000,
MAR,Marriott International,Consumer Cyclical,Lodging,85134237696,33.7479,3.2345,22.857,,0.0988,,0.8,0.042,buy,354.72,0.427,0.389,8.04,2608000000,4203000000
MRSH,Marsh,Financial Services,Insurance Brokers,89663275008,21.6848,3.3232,13.86,0.2935,0.1542,140.052,1.95,0.087,hold,207.25,1.102,0.517,2.49,5001000000,6499000000
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,36849455104,37.4146,5.9918,20.918,0.1016,0.1849,59.866,0.52,0.086,buy,702.625,3.568,0.883,4.35,978000000,1456000000
MAS,Masco Corporation,Industrials,Building Products & Equipment,12845571072,16.3446,1.6987,11.403,71.5,0.1071,4230.263,1.96,-0.019,none,80.3158,1.805,1.066,,866000000,1236000000
MA,Mastercard Incorporated,Financial Services,Credit Services,4.61E+11,31.2444,14.0562,23.211,2.0992,0.4565,256.042,0.66,0.176,strong_buy,662.8,1.035,0.681,1.78,16433000000,19300000000
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,7134041088,12.6975,2.0458,9.826,,0.1759,,2.46,0.021,buy,36.4706,1.418,1.326,6.05,1023615000,893554000
